num,address,city,type,size,sf_avail,rent
155,One California One California St,San Francisco,Office,"512,000 SF","705 - 160,745",$79.00 SF/Year
156,145 North California 145 N California Ave,Palo Alto,Office,"3,432 SF",654,$73.32 SF/Year
157,480 S California Ave,Palo Alto,Office,"23,118 SF","1,380",$73.91 SF/Year
158,The Mony Building 550 S California Ave,Palo Alto,Office,"25,773 SF","2,000",$83.40 SF/Year
159,400 W California Ave,Sunnyvale,Office,"34,862 SF","11,000 - 29,871",$48.00 SF/Year
160,350 Cambridge Ave,Palo Alto,Office,"24,176 SF","1,892 - 8,765",$39.00 - 63.00 SF/Year
161,415 Cambridge Ave,Palo Alto,Office,"6,125 SF",150,$66.00 SF/Year
162,430 Cambridge Ave,Palo Alto,Office,"6,128 SF","2,668",$42.72 SF/Year
163,121 Capp St,San Francisco,Flex,"11,752 SF","2,871 - 5,871",$27.00 SF/Year
164,201 Castro St,Mountain View,Office,"4,000 SF","2,500",$57.00 SF/Year
165,444 Castro St,Mountain View,Office,"179,937 SF","1,490 - 58,454",$63.00 - 93.00 SF/Year
166,Mountain View City Center 650 Castro St,Mountain View,Office,"122,400 SF","4,909 - 94,456",$78.00 - 95.40 SF/Year
167,1950-2190 Cesar Chavez,San Francisco,Warehouse,"341,154 SF","19,634",$12.24 SF/Year
168,870 E Charleston Rd,Palo Alto,Office,"5,000 SF","1,630",$54.96 SF/Year
169,919 Clay St,San Francisco,Retail,"1,875 SF","1,320",$30.00 SF/Year
170,3190 Clearview Way,San Mateo,Office,"13,601 SF","1,158 - 4,808",$36.36 - 39.00 SF/Year
171,900-910 Clement St,San Francisco,Retail,"4,524 SF","2,206 - 4,524",$39.00 SF/Year
172,363 Clementina St,San Francisco,Office,"11,200 SF","5,800",$45.00 SF/Year
173,743 Clementina St,San Francisco,Office,"3,600 SF","3,600",$48.00 SF/Year
174,Bldg 1 555 Clyde Ave,Mountain View,Office,"6,674 SF","1,704 - 5,038",$39.00 SF/Year
175,Oakmead Village Square -… 349 Cobalt Way,Sunnyvale,Office,"6,611 SF","1,080 - 2,160",$34.20 SF/Year
176,580 College Ave,Palo Alto,Office,"7,000 SF","1,335 - 7,000",$60.00 SF/Year
177,200-222 Columbus Ave,San Francisco,Office,"20,000 SF","756 - 2,806",$32.00 - 44.00 SF/Year
178,Bradford Bldg 632 Commercial St,San Francisco,Office,"12,500 SF","1,775 - 5,929",$32.00 - 58.00 SF/Year
179,149 Commonwealth Dr,Menlo Park,Office,"153,738 SF","10 - 37,022",$42.00 SF/Year
180,819-829 Cowan Rd,Burlingame,Flex,"24,998 SF","2,544 - 5,531",Withheld
181,1134 Crane St,Menlo Park,Office,"10,000 SF","3,000",$52.20 SF/Year
182,Candlestick Point Condo… 1 Crescent Way,San Francisco,Apartments,260 Units,"1,600",$19.20 SF/Year
183,1500-1560 Custer Ave,San Francisco,Warehouse,"70,000 SF","9,791 - 19,853",$19.80 SF/Year
184,Pioneer Square Bldg 555 De Haro St,San Francisco,Office,"50,021 SF","5,220 - 13,416",$42.96 - 43.00 SF/Year
185,1-25 Division St,San Francisco,Retail,"59,000 SF","1,000 - 9,278",$24.00 SF/Year
186,290 Division St,San Francisco,Office,"35,628 SF","9,674",$48.00 SF/Year
187,Athens of San Carlos 552-560 El Camino Real,San Carlos,Apartments,24 Units,"1,320 - 2,756",$45.00 SF/Year
188,648-650 El Camino Real,Redwood City,Office,"9,910 SF","525 - 2,181",$30.00 SF/Year
189,Building 1 855 El Camino Real,Palo Alto,Retail,"23,060 SF","919 - 5,497",$90.00 SF/Year
190,1010 El Camino Real,Menlo Park,Office,"53,807 SF","2,738 - 10,228 $105.00",SF/Year
191,1150 El Camino Real,Menlo Park,Office,"2,500 SF",309,$69.90 SF/Year
192,1285 El Camino Real,Menlo Park,Apartments,15 Units,"1,002",$78.00 SF/Year
193,1501 El Camino Real,Belmont,Retail,"21,000 SF","670 - 2,350",$24.00 SF/Year
194,1705 El Camino Real,Palo Alto,Office,"11,128 SF","11,128",$66.00 SF/Year
195,1860 El Camino Real,Burlingame,Office,"48,013 SF","640 - 4,785",$45.00 - 49.80 SF/Year
196,2051 El Camino Real,Palo Alto,Office,"6,529 SF","1,260",$72.00 SF/Year
197,Four Palo Alto Square 3000 El Camino Real,Palo Alto,Office,"19,539 SF","100 - 10,701",$90.00 SF/Year
198,El Camino Real @ Calaba… 3084-3088 El Camino Real,Santa Clara,Retail,"3,853 SF","1,564 - 3,853",$47.40 SF/Year
199,Seoul Plaza 3148 El Camino Real,Santa Clara,Office,"15,200 SF","440 - 3,531",$36.00 SF/Year
200,3239 El Camino Real 3239 El Camino Real,Palo Alto,Office,"4,469 SF",567,$57.00 SF/Year
201,3330 El Camino Real,Santa Clara,Retail,"9,623 SF","430 - 2,240",Withheld
202,4131 El Camino Real,Palo Alto,Office,"16,274 SF","1,242 - 9,242",$55.00 SF/Year
203,Los Altos Clinic 4906-4908 El Camino Real,Los Altos,Office,"13,800 SF","500 - 1,000",$34.80 SF/Year
204,4920 El Camino Real,Los Altos,Office,"22,416 SF","5,851 - 12,138",$35.40 SF/Year
205,4940 El Camino Real,Los Altos,Office,"16,563 SF","3,721",$54.00 SF/Year
206,Los Altos Office Center 4962 El Camino Real,Los Altos,Office,"26,417 SF","560 - 2,675",$37.80 - 47.40 SF/Year
207,4970 El Camino Real,Los Altos,Office,"19,353 SF","1,392 - 13,941",$46.80 SF/Year
208,4984 El Camino Real,Los Altos,Office,"26,274 SF","1,347 - 10,572",$46.80 SF/Year
209,Crossroads Office Center 700 E El Camino Real,Mountain View,Office,"49,800 SF","6,014 - 31,140",$71.40 SF/Year
210,950 E El Camino Real,Sunnyvale,Retail,"3,889 SF","3,889",$60.00 SF/Year
211,70 N El Camino Real,San Mateo,Office,"4,000 SF",875,$35.40 SF/Year
212,1300 S El Camino Real,San Mateo,Office,"99,995 SF","1,552 - 46,760",$59.40 SF/Year
213,1743-1745 S El Camino Real,San Mateo,Retail,"13,200 SF","5,850",$30.00 SF/Year
214,2285-2291 S El Camino Real,San Mateo,Office,"7,219 SF","1,500",$27.00 SF/Year
215,Buildings 4 & 5 100 W El Camino Real,Mountain View,Office,"25,000 SF",761,$51.00 SF/Year
216,800 W El Camino Real,Mountain View,Office,"118,457 SF","100 - 24,500",$90.00 SF/Year
217,970 W El Camino Real,Sunnyvale,Retail,"8,590 SF",422,$84.00 SF/Year
218,1100 W El Camino Real,Mountain View,Retail,"4,213 SF","3,546",$42.00 SF/Year
219,Abhyanker Startup & Med… 1580 W El Camino Real,Mountain View,Office,"14,275 SF","1,165 - 2,515",$46.20 SF/Year
220,Atrium Business Center 1975 W El Camino Real,Mountain View,Office,"65,996 SF","4,145 - 27,742",$57.00 - 63.00 SF/Year
221,Alpine Animal Hospital 2460 W El Camino Real,Mountain View,Office,"2,394 SF","2,394",$57.00 SF/Year
222,5050 W El Camino Real,Los Altos,Office,"40,417 SF","2,792",$63.00 SF/Year
223,111 Ellis St,San Francisco,Office,"21,412 SF","2,944 - 12,507",$35.00 SF/Year
224,625 Ellis St,Mountain View,Office,"35,760 SF","3,257 - 22,919",$54.00 - 59.40 SF/Year
225,899 Ellis St,San Francisco,Office,"5,450 SF","2,355 - 4,711",$33.00 SF/Year
226,300 S Ellsworth Ave,San Mateo,Office,"33,266 SF","8,480 - 26,495",$94.20 SF/Year
227,One Embarcadero Center One Embarcadero Ctr,San Francisco,Office,"838,051 SF","$45.00 94 - 202,638",- 224.88 SF/Year
228,Bldg B 331 E Evelyn Ave,Mountain View,R&D,"71,012 SF","5,552 - 67,048",$42.00 SF/Year
229,701-747 W Evelyn Ave,Mountain View,Retail,"9,994 SF","1,947 - 9,994",$54.00 SF/Year
230,727-747 W Evelyn Ave,Mountain View,Retail,"6,206 SF","761 - 6,102",Withheld
231,1080-1098 W Evelyn Ave,Sunnyvale,Warehouse,"12,400 SF","960 - 5,284",$31.80 SF/Year
232,San Francisco Executive P… 150 Executive Park Blvd,San Francisco,Office,"105,000 SF","685 - 21,031",$30.00 SF/Year
233,299 Fairchild Dr,Mountain View,Light Distribution,"7,500 SF","1,460 - 8,960",$39.00 SF/Year
234,2555 Flores St,San Mateo,Office,"26,000 SF","493 - 9,312",$36.00 - 39.00 SF/Year
235,620 Folsom Street 620 Folsom St,San Francisco,Office,"49,800 SF","16,600 - 33,200",$19.00 SF/Year
236,Shiply Square 821 Folsom St,San Francisco,Apartments,78 Units,"3,228",$36.00 SF/Year
237,832 Folsom St,San Francisco,Office,"52,000 SF","3,600",$38.00 SF/Year
238,848-850 Folsom St,San Francisco,Retail,"11,059 SF","2,200 - 4,400",$50.00 SF/Year
239,960 Folsom St,San Francisco,Retail,"3,475 SF","1,350 - 3,475",$30.00 SF/Year
240,1062 Folsom St,San Francisco,Office,"12,000 SF","4,000 - 8,000",$27.00 SF/Year
241,1228 Folsom St,San Francisco,Light Manufacturing,"16,500 SF","2,500 - 7,500",$24.00 SF/Year
242,1435 Folsom St,San Francisco,Flex,"11,468 SF","4,448 - 11,468",$52.00 SF/Year
243,203 Forest Ave,Palo Alto,Office,"4,228 SF","4,228",$71.40 SF/Year
244,1060-1098 Foster City Blvd,Foster City,Retail,"73,186 SF","633 - 11,603",Withheld
245,55 Francisco St,San Francisco,Office,"187,524 SF","6,142 - 50,601",$42.00 - 82.00 SF/Year
246,60 Francisco St,San Francisco,Office,"15,387 SF","1,119",$48.25 SF/Year
247,M/N 877 W Fremont Ave,Sunnyvale,Office,"7,365 SF","1,263 - 6,066",$35.40 SF/Year
248,459 Fulton St,San Francisco,Office,"17,544 SF","483 - 1,320",$27.00 - 29.76 SF/Year
249,3036-3040 Fulton St,San Francisco,Apartments,4 Units,300 $140.00,SF/Year
250,3537 Fulton St,San Francisco,Office,"1,005 SF",660,$45.36 SF/Year
251,The Presidio 10 Funston Ave,San Francisco,Office,"4,010 SF","4,010",$70.00 SF/Year
252,601 Gateway Blvd,South San Francisco,Office,"221,383 SF","1,744 - 98,798",$48.00 SF/Year
253,611 Gateway Blvd,South San Francisco,Office,"262,274 SF","100 - 75,091",$42.00 SF/Year
254,Building I 1800 Gateway Dr,San Mateo,Office,"78,204 SF","10,270",$47.40 SF/Year
255,Building II 1810 Gateway Dr,San Mateo,Office,"75,715 SF","3,862 - 38,972",$47.40 SF/Year
256,1840 Gateway Dr,San Mateo,Office,"68,974 SF","65 - 32,747",$57.00 SF/Year
257,Emeric Goodman 1115 Geary Blvd,San Francisco,Office,"22,608 SF","1,224 - 2,824",$29.52 - 34.20 SF/Year
258,2186 Geary Blvd,San Francisco,Office,"19,751 SF",755,$48.00 SF/Year
259,5300-5320 Geary Blvd,San Francisco,Office,"15,000 SF","500 - 1,053",$51.60 SF/Year
260,Bankers Investment Buildi… 49-55 Geary St,San Francisco,Office,"151,546 SF","835 - 35,015",$32.00 - 42.00 SF/Year
261,Geary-Grant Building 101-111 Geary St,San Francisco,Office,"8,800 SF","240 - 2,090",$30.00 SF/Year
262,459 Geary St,San Francisco,Office,"20,592 SF","2,665",$36.00 SF/Year
263,1 Embarcadero Place 2100 Geng Rd,Palo Alto,Office,"48,081 SF","100 - 8,063",$57.00 SF/Year
264,1648 Gilbreth Rd,Burlingame,Office,"7,187 SF","3,593 - 7,187",$22.20 SF/Year
265,585 Glenwood Ave,Menlo Park,Office,"4,950 SF","84 - 6,445",$61.22 SF/Year
266,263-265 Golden Gate Ave,San Francisco,Retail,"3,900 SF","1,115 - 2,305",$45.00 SF/Year
267,44 Gough St,San Francisco,Office,"36,041 SF","105 - 5,217",$23.00 - 34.00 SF/Year
268,301 Grand Ave,South San Francisco,Office,"12,000 SF","3,689",$24.36 SF/Year
269,435 Grand Ave,South San Francisco,Office,"7,995 SF","3,997 - 7,994",$27.00 SF/Year
270,239 Grant Ave,San Francisco,Office,"13,133 SF","1,700 - 3,400",$33.84 SF/Year
271,253 Grant Ave,San Francisco,Retail,"2,293 SF","338 - 1,952",$47.04 SF/Year
272,626 Grant Ave,San Francisco,Office,"13,884 SF",100,$45.00 SF/Year
273,1503 Grant Rd,Mountain View,Office,"19,771 SF","2,007 - 7,692",$71.40 SF/Year
274,30 Guerrero St,San Francisco,Office,"1,364 SF","1,364",$36.00 SF/Year
275,20 Haight St,San Francisco,Office,"10,497 SF","10,497",$54.00 SF/Year
276,67-71 Haight St,San Francisco,Retail,"2,450 SF","1,650",$50.90 SF/Year
277,681 Harrison St,San Francisco,Office,"2,645 SF","1,322 - 2,645",$29.50 SF/Year
278,1818 Harrison St,San Francisco,Manufacturing,"18,360 SF","18,360",$12.00 SF/Year
279,263 Hatch Ln,Burlingame,Office,"3,550 SF","2,175",$51.00 SF/Year
280,575 High St,Palo Alto,Office,"22,467 SF","1,840",$84.00 SF/Year
281,831 High St,Palo Alto,Office,"5,400 SF","5,400",$63.00 SF/Year
282,Parkside Towers 1001-1051 E Hillsdale Blvd,Foster City,Office,"399,422 SF","7,509 - 150,323",$23.40 - 54.00 SF/Year
283,Foster City Medical Pavilion 1241 E Hillsdale Blvd,Foster City,Office,"40,143 SF","933 - 16,063",$45.00 - 51.00 SF/Year
284,Hillsdale Office Center 1291 E Hillsdale Blvd,Foster City,Office,"46,452 SF","381 - 11,234",$36.00 - 42.00 SF/Year
285,1310 Hollenbeck Ave,Sunnyvale,Office,"5,012 SF","722 - 1,444",$49.80 SF/Year
286,Hooper South 100 Hooper St,San Francisco,Office,"212,000 SF 12,469","- 149,530",$65.00 SF/Year
287,101 Hope St,Mountain View,Office,"9,096 SF","9,096",$83.40 SF/Year
288,The Folger Coffee Compa… 101 Howard St,San Francisco,Office,"114,556 SF","7,328 - 25,665",$50.00 - 52.00 SF/Year
289,530 Howard St,San Francisco,Office,"25,000 SF","4,481",$29.00 SF/Year
290,Central Building 835-837 Howard St,San Francisco,Office,"34,963 SF","7,903",$29.00 SF/Year
291,977 Howard St,San Francisco,Warehouse,"3,675 SF","1,675 - 3,675",$21.60 SF/Year
292,1154-1158 Howard St,San Francisco,Flex,"13,040 SF","4,000 - 13,040",$30.00 SF/Year
293,1245-1263 Howard St,San Francisco,Flex,"35,310 SF","5,000 - 15,000",$28.80 SF/Year
294,1458 Howard St,San Francisco,Office,"9,000 SF","4,500 - 9,000",$42.00 SF/Year
295,1435-1475 Huntington Ave,South San Francisco,Showroom,"80,000 SF","3,224",$30.60 SF/Year
296,1486 Huntington Ave,South San Francisco,Office,"13,245 SF","2,621",$34.80 SF/Year
297,1499 Illinois St,San Francisco,Warehouse,"6,194 SF","6,194",$21.60 SF/Year
298,922-926 Industrial Ave,Palo Alto,Warehouse,"7,931 SF","1,200",$34.20 SF/Year
299,1100 Industrial Rd,San Carlos,R&D,"108,000 SF","500 - 4,195",$23.40 SF/Year
300,2845-2847 Ingalls St,San Francisco,Specialty,"3,369 SF","2,158",$12.24 SF/Year
301,2201-2209 Irving St,San Francisco,Retail,"11,500 SF","300 - 1,100",$42.00 - 48.00 SF/Year
302,54 Jeff Adachi Way,San Francisco,Flex,"6,792 SF","2,350 - 4,700",$36.00 SF/Year
303,Jefferson Plaza 3115-3137 Jefferson Ave,Redwood City,Retail,"6,434 SF","1,625",$42.00 SF/Year
304,471 Jessie St,San Francisco,Office,"4,680 SF","1,550 - 3,100",$48.00 SF/Year
305,California Federal Building 950 John Daly Blvd,Daly City,Office,"23,000 SF","3,000 - 4,249",$39.00 SF/Year
306,20 Jones St,San Francisco,Office,"33,000 SF","2,000 - 33,000",$12.00 - 24.00 SF/Year
307,GENESIS - Station 2001 Junipero Serra Blvd,Daly City,R&D,"441,000 SF","2,507 - 217,226",$75.00 SF/Year
308,45-47 Kearny St,San Francisco,Office,"28,660 SF","3,006",$36.00 SF/Year
309,123-133 Kearny St,San Francisco,Office,"26,446 SF","835 - 3,233",$29.00 SF/Year
310,221 Kearny St,San Francisco,Office,"9,365 SF","1,573 - 4,646",$40.00 SF/Year
311,227-231 Kearny St,San Francisco,Retail,"7,050 SF","1,232 - 5,423",$33.00 - 38.00 SF/Year
312,260 Kearny St,San Francisco,Office,"12,500 SF","1,500 - 3,000",$29.00 SF/Year
313,1292 Kifer Rd,Sunnyvale,R&D,"25,360 SF","3,600 - 7,200",$24.00 SF/Year
314,1296 Kifer Rd,Sunnyvale,Office,"57,636 SF","2,000",$27.00 SF/Year
315,1298 Kifer Rd,Sunnyvale,Office,"25,570 SF","2,320 - 4,680",$26.00 - 39.00 SF/Year
316,Decathlon Executive Build… 3235 Kifer Rd,Santa Clara,Office,"35,227 SF","2,811 - 7,311",$30.00 SF/Year
317,Cherry Chase Medical Ce… 665 S Knickerbocker Dr,Sunnyvale,Office,"11,192 SF","720 - 3,991",$35.40 SF/Year
318,3130 La Selva St,San Mateo,Office,"33,682 SF","787 - 21,898",$45.00 SF/Year
319,530 Lakeside Dr,Sunnyvale,Office,"44,800 SF","1,443 - 20,908",$63.00 SF/Year
320,2465 Latham St,Mountain View,Office,"48,006 SF","5,308 - 36,958",$45.00 SF/Year
321,501 Laurel St,San Carlos,Retail,"6,000 SF","2,000 - 6,000",$35.88 SF/Year
322,961-963 Laurel St,San Carlos,Office,"8,000 SF","1,734",$39.00 SF/Year
323,987 Laurel St,San Carlos,Retail,"1,185 SF","1,185",$47.88 SF/Year
324,510 Lawrence Expy,Sunnyvale,Retail,"17,946 SF","176 - 3,145",$33.00 SF/Year
325,Bldg D One Letterman Dr,San Francisco,Office,"170,703 SF","6,256 - 24,187 $150.00",SF/Year
326,980 Linda Vista Ave,Mountain View,R&D,"9,408 SF","9,408",$35.40 SF/Year
327,320 Logue Ave,Mountain View,Office,"30,636 SF","1,099 - 4,294",$51.00 SF/Year
328,Telegraph Landing Condos 150-156 Lombard St,San Francisco,Apartments,190 Units,"1,200",$67.00 SF/Year
329,345 Lorton Ave,Burlingame,Office,"21,300 SF","1,426 - 3,546",$60.00 SF/Year
330,47 Lusk St,San Francisco,Office,"14,000 SF","1,600",$43.00 SF/Year
331,591-597 Lytton Ave,Palo Alto,Office,"3,584 SF",316,$60.00 SF/Year
332,27 Maiden Ln,San Francisco,Office,"61,972 SF","1,168 - 16,207",$24.00 - 45.00 SF/Year
333,100 Grant 77 Maiden Ln,San Francisco,Office,"120,334 SF","1,950 - 53,113",$23.88 - 30.48 SF/Year
334,170 Maiden Ln,San Francisco,Office,"64,800 SF","7,329 - 22,021",$39.00 SF/Year
335,250 Main St,San Mateo,Retail,"9,811 SF","1,340",$30.84 SF/Year
336,The Brugger Bldg 305 Main St,Redwood City,Office,"55,200 SF","18,400 - 36,800",$45.00 SF/Year
337,388 Market St,San Francisco,Office,"257,040 SF","10 - 195,245",$45.00 - 65.00 SF/Year
338,575 Market St,San Francisco,Office,"480,752 SF","100 - 136,615",$65.00 SF/Year
339,Finance Bldg 576-580 Market St,San Francisco,Office,"31,325 SF","4,541 - 13,655",$48.00 SF/Year
340,West Coast Life Building 601-605 Market St,San Francisco,Office,"53,577 SF","595 - 6,712",$38.00 - 45.00 SF/Year
341,One New Montgomery 625 Market St,San Francisco,Office,"70,491 SF","2,408 - 41,929",$70.00 - 80.00 SF/Year
342,717 Market St,San Francisco,Office,"81,099 SF","9,252 - 18,611",$40.00 SF/Year
343,Flood Bldg 870 Market St,San Francisco,Office,"300,000 SF","515 - 53,910",$40.00 - 45.00 SF/Year
344,979-989 Market St,San Francisco,Office,"117,000 SF","18,222 - 91,110",$39.00 SF/Year
345,1011-1013 Market St,San Francisco,Retail,"9,800 SF","2,000 - 4,500",$18.00 SF/Year
346,Orpheum Theatre Bldg 1182 Market St,San Francisco,Office,"117,498 SF","6,028",$18.00 SF/Year
347,Yully Bldg 1210-1212 Market St,San Francisco,Office,"23,700 SF","947 - 10,457",$12.00 - 19.00 SF/Year
348,1540 Market St,San Francisco,Office,"48,225 SF","700 - 11,200",$15.00 SF/Year
349,1869-1871 Market St,San Francisco,Office,"6,906 SF",800,$37.56 SF/Year
350,2055-2057 Market St,San Francisco,Retail,"3,850 SF","1,925 - 3,850",$50.00 SF/Year
351,2073-2079 Market St,San Francisco,Apartments,37 Units,"2,098 - 4,720",$36.00 SF/Year
352,2370 Market St,San Francisco,Office,"7,119 SF","1,643",$24.00 SF/Year
353,1060 Marsh Rd,Menlo Park,Office,"34,864 SF","6,437 - 17,432",$30.00 SF/Year
354,208-220 Marshall St,Redwood City,Retail,"8,869 SF","2,876",$39.00 SF/Year
355,702 Marshall St,Redwood City,Office,"62,595 SF","463 - 17,784",$66.00 - 72.00 SF/Year
356,Birch Building 910 Marshall St,Redwood City,Office,"13,717 SF","13,717",$30.00 SF/Year
357,Westmoor Village 1211-1291 S Mary Ave,Sunnyvale,Retail,"60,909 SF","1,700 - 6,220",$45.00 SF/Year
358,34-38 Mason St,San Francisco,Office,"12,375 SF","3,026",$32.00 SF/Year
359,440-444 S Mathilda Ave,Sunnyvale,Retail,"31,691 SF","10,829 - 31,691",$39.00 SF/Year
360,560 S Mathilda Ave,Sunnyvale,Office,"5,700 SF","1,000 - 5,700",$60.00 SF/Year
361,1220-1230 Midas Way,Sunnyvale,R&D,"54,500 SF","3,078 - 9,421",$63.00 SF/Year
362,Haas Candy Factory 14 Mint Plz,San Francisco,Office,"16,400 SF","1,115",$26.91 SF/Year
363,66-90 Mint St,San Francisco,Office,"25,000 SF","1,723 - 6,756",$32.00 SF/Year
364,611-615 Mission St,San Francisco,Office,"45,461 SF","5,919 - 11,888",$55.00 SF/Year
365,966 Mission St,San Francisco,Office,"7,300 SF","7,300",$42.00 SF/Year
366,972 Mission St,San Francisco,Office,"62,000 SF","11,000",$22.00 SF/Year
367,1328 Mission St,San Francisco,Office,"13,710 SF","2,545 - 7,237",$33.00 SF/Year
368,1338 Mission St,San Francisco,Office,"13,437 SF","2,897",$12.00 SF/Year
369,1360 Mission St,San Francisco,Office,"35,293 SF","3,051 - 12,035",$18.00 SF/Year
370,1375-1385 Mission St,San Francisco,Office,"12,200 SF","1,957 - 5,548",$18.00 SF/Year
371,1663 Mission St,San Francisco,Office,"74,750 SF","2,500 - 5,500",$30.00 SF/Year
372,& 11 Dubose Ave 1700 Mission St,San Francisco,Retail,"6,730 SF","2,250",$31.97 SF/Year
373,2001-2017 Mission St,San Francisco,Office,"27,591 SF","4,663 - 9,750",$27.00 SF/Year
374,Redlick Building 2101-2129 Mission St,San Francisco,Office,"131,885 SF","3,952 - 17,221",$42.00 SF/Year
375,2390 Mission St,San Francisco,Office,"15,000 SF","4,500",$42.00 SF/Year
376,2871-2873 Mission St,San Francisco,Retail,"5,639 SF",150 - 350,$60.00 - 65.00 SF/Year
377,210-218 Mississippi St,San Francisco,Flex,"8,235 SF","3,573",$26.88 SF/Year
378,819 Mitten Rd,Burlingame,Office,"10,000 SF","1,185",$22.20 SF/Year
379,856 Mitten Rd,Burlingame,Office,"10,000 SF","1,500 - 7,500",$30.00 SF/Year
380,44 Montgomery 44 Montgomery St,San Francisco,Office,"692,000 SF","500 - 265,088",$55.00 SF/Year
381,Alexander Building 155 Montgomery St,San Francisco,Office,"68,119 SF","251 - 13,072",$40.00 - 58.00 SF/Year
382,Westlake Bldg 909 Montgomery St,San Francisco,Office,"77,174 SF","4,082 - 32,270",$30.00 SF/Year
383,1700 Montgomery St,San Francisco,Office,"142,466 SF","58 - 26,290",$60.00 SF/Year
384,One Montgomery Tower One Montgomery St,San Francisco,Office,"752,942 SF 5,844","- 395,053",$39.00 - 45.00 SF/Year
385,186-198 S Murphy Ave,Sunnyvale,Retail,"16,000 SF","403 - 3,024",$24.00 - 48.00 SF/Year
386,Law Offices 438 S Murphy Ave,Sunnyvale,Office,"9,612 SF","100 - 1,588",$57.00 SF/Year
387,B 615 National Ave,Mountain View,Office,"19,176 SF","10,040",$54.00 SF/Year
388,116 Natoma St,San Francisco,Office,"18,840 SF","3,949",$42.00 SF/Year
389,654 Natoma St,San Francisco,Flex,"3,750 SF","1,875",$28.80 SF/Year
390,90 New Montgomery St,San Francisco,Office,"132,661 SF","504 - 46,883",$45.00 SF/Year
391,101 New Montgomery St,San Francisco,Office,"57,155 SF","3,600 - 33,708",$42.00 SF/Year
392,111-115 New Montgomery St,San Francisco,Office,"30,974 SF","4,281 - 8,576",$48.00 SF/Year
393,Rialto on New Montgomery 116-118 New Montgomery St,San Francisco,Office,"141,145 SF","14,414",$65.00 SF/Year
394,1175-1185 O'Brien Dr,Menlo Park,Manufacturing,"15,414 SF","2,420 - 7,420",$30.00 SF/Year
395,"Bldg 7 1430-1440 O'Brien Dr, Menlo Park",Menlo Park,R&D,"64,700 SF","1,685 - 9,826",$96.00 SF/Year
396,657-659 Oak Grove Ave,Menlo Park,Office,"6,000 SF",437,$72.72 SF/Year
397,724-726 Oak Grove Ave,Menlo Park,Office,"13,876 SF","3,000",$60.00 SF/Year
398,845 Oak Grove Ave,Menlo Park,Office,"8,000 SF","495 - 1,995",$54.00 SF/Year
399,885 Oak Grove Ave,Menlo Park,Office,"10,000 SF",371,$40.44 SF/Year
400,1267 Oakmead Pky,Sunnyvale,Office,"6,000 SF","6,000",$47.40 SF/Year
401,Octavia Court 261 Octavia Blvd,San Francisco,Apartments,15 Units,858,$37.76 SF/Year
402,2483 Old Middlefield Way,Mountain View,Office,"33,000 SF","1,299 - 2,634",$33.00 SF/Year
403,50 Osgood Pl,San Francisco,Office,"28,060 SF","3,320 - 16,987",$33.00 SF/Year
404,Oyster Point Marina Plaza… 395 Oyster Point Blvd,South San Francisco,Office,"234,479 SF","1,984 - 50,867",$42.00 - 47.40 SF/Year
405,1095 Pacific Ave,San Francisco,Apartments,9 Units,"1,450",$22.20 SF/Year
406,1469 Pacific Ave,San Francisco,Light Manufacturing,"16,493 SF","1,424 - 16,493",$39.00 SF/Year
407,1545-1555 Pacific Ave,San Francisco,Retail,"13,611 SF","2,000 - 20,417",$24.00 SF/Year
408,165 St,San Francisco,Office,"5,500 SF","5,500",$58.00 SF/Year
409,425 Mill Rd 425 Mill Rd,Palo Alto,Apartments,10 Units,"10 - 14,155",$72.00 SF/Year
410,Bldg B 2421-2431 Park Blvd,Palo Alto,Office,"34,916 SF","1,373",$48.00 SF/Year
411,251 Park Rd,Burlingame,Office,"6,000 SF",305 - 800,$60.00 SF/Year
412,422-426 Peninsula Ave,San Mateo,Office,"3,456 SF","968 - 3,456",$45.60 SF/Year
413,514-516 Peninsula Ave,San Mateo,Retail,"3,416 SF",470,$40.32 SF/Year
414,102 Persian Dr,Sunnyvale,Office,"6,530 SF","1,600",$36.00 SF/Year
415,1270 Persian Dr,Sunnyvale,Retail,"5,452 SF","1,025",$36.00 SF/Year
416,160 Pine St,San Francisco,Office,"96,082 SF","3,661 - 50,379",$36.00 - 63.00 SF/Year
417,Exchange Block Bldg 369 Pine St,San Francisco,Office,"63,769 SF","501 - 17,680",$39.50 - 62.00 SF/Year
418,39-45 Polk St,San Francisco,Office,"6,065 SF","1,835",$29.75 SF/Year
419,507 Polk St,San Francisco,Office,"39,000 SF","680 - 11,528",$24.00 - 30.00 SF/Year
420,1033-1037 Polk St,San Francisco,Office,"5,200 SF","2,700 - 5,800",$31.00 - 38.00 SF/Year
421,1715 Polk St,San Francisco,Apartments,16 Units,"1,684",$14.28 SF/Year
422,1812 Polk St,San Francisco,Retail,"3,052 SF","3,052",$29.00 SF/Year
423,601-621 Portola Dr,San Francisco,Office,"5,353 SF","840 - 3,840",$34.08 - 71.40 SF/Year
424,Mechanics Institute Bldg 57-65 Post St,San Francisco,Office,"59,751 SF",234 - 478,$22.50 - 40.56 SF/Year
425,155-165 Post St,San Francisco,Office,"39,985 SF","3,575 - 19,930",$41.00 SF/Year
426,Post Scott Medical Building 2201-2215 Post St,San Francisco,Office,"12,390 SF",533,$48.00 SF/Year
