num,address,city,type,size,sf_avail,rent
1413,55 Stockton St,San Francisco,Office,"130,000 SF","2,164 - 39,062",Withheld
1414,240 Stockton St,San Francisco,Office,"40,536 SF","3,692 - 11,076",Withheld
1415,One Eleven Sutter 111 Sutter St,San Francisco,Office,"276,258 SF","2,564 - 13,633",Withheld
1416,180 Sutter St,San Francisco,Office,"25,643 SF","4,097 - 12,388",Withheld
1417,2320 Sutter St,San Francisco,Office,"14,400 SF",931,Withheld
1418,701 Taraval St,San Francisco,Retail,"2,641 SF","1,500",Withheld
1419,Golden Gate Theatre - Of… 25 Taylor St,San Francisco,Office,"49,939 SF","2,795 - 48,124",Withheld
1420,420 Taylor St,San Francisco,Office,"115,766 SF","5,387 - 43,041",Withheld
1421,387 Tehama St,San Francisco,Office,"105,951 SF","11,800",Withheld
1422,603 Tennessee St,San Francisco,Apartments,24 Units,"1,000 - 2,000",Withheld
1423,Pier 38 675 The Embarcadero,San Francisco,Warehouse,"209,519 SF 20,000","- 209,519",Withheld
1424,1012-1016 Torney Ave,San Francisco,Office,"38,144 SF","1,000 - 18,408",Withheld
1425,Metro Tower 950 Tower Ln,Foster City,"Office 400,000",SF,"1,752 - 122,519",Withheld
1426,135 Townsend St,San Francisco,Office,"61,000 SF","10,250 - 20,500",Withheld
1427,139 Townsend St,San Francisco,Office,"58,886 SF","4,130 - 25,991",Withheld
1428,260 Townsend St,San Francisco,Office,"78,388 SF","2,646 - 57,083",Withheld
1429,330-332 Townsend St,San Francisco,Office,"60,976 SF","200 - 5,400",Withheld
1430,450-454 Townsend St,San Francisco,Light Manufacturing,"26,460 SF","8,820 - 26,460",Withheld
1431,West Bldg 600 Townsend St,San Francisco,Office,"208,259 SF","15,238 - 53,976",Withheld
1432,Bayhill III Bldg A 801 Traeger Ave,San Bruno,Office,"52,694 SF","1,512 - 3,533",Withheld
1433,Bayhill III Bldg B 851 Traeger Ave,San Bruno,Office,"68,481 SF","2,012 - 36,569",Withheld
1434,1772-1776 Union St,San Francisco,Office,"5,659 SF","2,000",Withheld
1435,1889-1899 Union St,San Francisco,Retail,"8,000 SF",300,Withheld
1436,384-396 University Ave,Palo Alto,Retail,"15,414 SF","4,845",Withheld
1437,720 University Ave,Palo Alto,Office,"7,235 SF","3,064",Withheld
1438,1900 University Ave,East Palo Alto,Office,"143,000 SF","1,059 - 132,573",Withheld
1439,976 Valencia St,San Francisco,Apartments,20 Units,"1,250",Withheld
1440,77 Van Ness Ave,San Francisco,Office,"24,000 SF","2,064",Withheld
1441,1755-1765 Van Ness Ave,San Francisco,Apartments,48 Units,"3,244",Withheld
1442,682 Villa St,Mountain View,Office,"8,963 SF","4,248 - 8,963",Withheld
1443,990 Villa St,Mountain View,Office,"17,677 SF","17,677",Withheld
1444,Chase Center 1 Warriors Way,San Francisco,Sports & Entertainment,"800,000 SF","1,263 - 30,755",Withheld
1445,Eclipse Champagne Build… 520-550 Washington St,San Francisco,Office,"17,278 SF","4,743",Withheld
1446,Building G (Block 3) 250 W Washington Ave,Sunnyvale,Office,"355,627 SF","1,957 - 16,087",Withheld
1447,3131 Webster St,San Francisco,Office,"4,338 SF","2,675",Withheld
1448,301 N Whisman Rd,Mountain View,Office,"17,100 SF","8,550 - 17,100",Withheld
1449,455 N. Whisman Road 455 N Whisman Rd,Mountain View,Office,"10,443 SF","2,548",Withheld
1450,475 N Whisman Rd,Mountain View,Office,"1,275 SF","1,275",Withheld
1451,Willow Park 80 Willow Rd,Menlo Park,Office,"55,523 SF","9,000 - 55,523",Withheld
